pollution_segment,avg_pm25,avg_temperature_c,avg_humidity_pct,avg_wind_speed_mps,avg_temperature_c_vs_lower_pct,avg_humidity_pct_vs_lower_pct,avg_wind_speed_mps_vs_lower_pct
Lower Pollution,4.887276402753501,26.662490750396472,71.76329041427337,5.350555287819155,0.0,0.0,0.0
Moderate Pollution,11.055944904181183,27.89225529461866,76.42166533168796,3.561569681281456,4.612339318688378,6.49130619641719,-33.43551295713974
High Pollution,39.66370271575198,31.398654206016722,74.62987352674593,3.432194611255166,17.763394650403484,3.9944978775700126,-35.85348759840398
